Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
134	20.899	11.683	11.112	12.474	737.928	216000.000	169.950	0.174	1363.990	6.500
135	20.901	11.687	11.273	11.842	737.928	216000.000	169.036	0.177	1366.290	6.600
136	20.869	11.714	10.963	12.728	737.928	216000.000	172.509	0.176	1388.100	6.600
137	20.868	11.729	10.416	14.514	737.928	216000.000	175.077	0.173	1398.700	6.600
138	20.851	11.751	10.034	15.952	737.928	216000.000	179.708	0.166	1415.020	6.400
139	20.881	11.747	9.353	16.911	737.928	216000.000	182.935	0.157	1414.280	6.000
140	20.915	11.761	8.401	16.584	737.928	216000.000	182.946	0.157	1424.450	6.100
141	20.889	11.736	7.768	14.903	737.928	216000.000	180.072	0.158	1409.900	6.100
142	20.873	11.735	9.033	13.688	737.928	216000.000	180.900	0.156	1403.530	5.800
143	20.869	11.704	10.414	12.801	737.928	216000.000	179.337	0.156	1383.370	5.600
144	20.889	11.685	10.544	12.090	737.928	216000.000	175.923	0.159	1366.850	5.700
145	20.868	11.670	10.785	12.649	737.928	216000.000	175.198	0.157	1350.780	5.600
146	20.827	11.661	11.438	13.115	737.928	216000.000	173.242	0.161	1341.400	5.800
147	20.843	11.658	11.881	12.903	737.928	216000.000	171.915	0.164	1338.220	5.900
148	20.882	11.680	11.476	14.019	737.928	216000.000	172.999	0.164	1348.380	6.000
149	20.841	11.685	10.391	14.576	737.928	216000.000	171.525	0.169	1355.180	6.400
150	20.830	11.705	9.869	15.226	737.928	216000.000	175.865	0.161	1368.350	6.100
151	20.866	11.720	9.267	15.954	737.928	216000.000	179.405	0.154	1378.040	5.800
152	20.883	11.714	8.400	15.871	737.928	216000.000	178.496	0.155	1378.790	5.900
153	20.878	11.714	8.243	15.195	737.928	216000.000	180.015	0.150	1377.300	5.600
154	20.859	11.709	9.291	15.274	737.928	216000.000	181.550	0.147	1370.070	5.300
155	20.849	11.708	10.332	14.368	737.928	216000.000	180.553	0.150	1365.020	5.300
156	20.913	11.676	10.387	12.992	737.928	216000.000	178.009	0.148	1344.950	5.100
157	20.913	11.656	9.913	12.359	737.928	216000.000	172.146	0.156	1330.760	5.600
158	20.870	11.647	10.151	11.346	737.928	216000.000	170.672	0.157	1321.740	5.600
159	20.882	11.655	11.106	10.669	737.928	216000.000	169.573	0.162	1321.730	5.700
160	20.912	11.653	11.237	11.998	737.928	216000.000	171.093	0.159	1322.720	5.600
161	20.902	11.686	11.166	14.368	737.928	216000.000	174.317	0.158	1340.410	5.700
162	20.889	11.719	11.189	16.058	737.928	216000.000	179.462	0.153	1359.530	5.500
163	20.857	11.749	10.861	17.332	737.928	216000.000	184.554	0.148	1379.580	5.300
164	20.910	11.747	9.852	17.354	737.928	216000.000	184.418	0.146	1382.840	5.300
165	20.913	11.762	8.282	16.271	737.928	216000.000	183.307	0.149	1398.260	5.600
166	20.879	11.741	7.783	14.585	737.928	216000.000	183.475	0.144	1384.610	5.200
167	20.846	11.732	8.960	13.334	737.928	216000.000	183.650	0.142	1371.940	4.900
168	20.870	11.687	10.213	13.559	737.928	216000.000	182.955	0.138	1344.110	4.500
169	20.862	11.664	10.406	13.822	737.928	216000.000	180.271	0.139	1327.510	4.600
170	20.823	11.649	10.750	13.400	737.928	216000.000	175.289	0.148	1315.990	5.100
171	20.799	11.650	11.126	12.260	737.928	216000.000	173.629	0.152	1312.350	5.200
172	20.867	11.634	11.081	11.518	737.928	216000.000	170.525	0.154	1301.250	5.300
173	20.856	11.637	10.565	11.643	737.928	216000.000	168.518	0.158	1301.170	5.600
174	20.824	11.643	10.605	12.652	737.928	216000.000	167.517	0.162	1302.590	5.900
175	20.831	11.685	11.070	12.708	737.928	216000.000	169.709	0.165	1324.830	6.000
176	20.852	11.710	10.773	13.242	737.928	216000.000	173.370	0.160	1340.770	5.800
177	20.827	11.718	9.906	14.445	737.928	216000.000	174.727	0.157	1344.030	5.800
178	20.806	11.722	9.286	15.678	737.928	216000.000	176.868	0.151	1342.130	5.600
179	20.793	11.720	8.970	16.319	737.928	216000.000	177.677	0.149	1339.050	5.500
180	20.863	11.685	9.089	15.725	737.928	216000.000	176.928	0.145	1325.040	5.200
181	20.873	11.669	8.849	14.817	737.928	216000.000	174.382	0.147	1316.320	5.300
182	20.856	11.664	9.273	13.829	737.928	216000.000	175.914	0.142	1310.230	4.900
183	20.813	11.656	10.470	13.280	737.928	216000.000	174.332	0.146	1302.230	5.000
184	20.831	11.635	11.120	13.265	737.928	216000.000	173.037	0.146	1287.370	4.900
185	20.843	11.654	11.041	12.771	737.928	216000.000	170.940	0.153	1295.400	5.300
186	20.814	11.662	10.688	11.983	737.928	216000.000	170.467	0.155	1299.870	5.400
187	20.810	11.679	10.508	12.722	737.928	216000.000	171.415	0.155	1308.640	5.500
188	20.877	11.685	10.359	14.316	737.928	216000.000	174.641	0.148	1313.070	5.200
189	20.875	11.685	9.914	15.454	737.928	216000.000	174.921	0.148	1315.340	5.300
190	20.854	11.684	9.619	16.153	737.928	216000.000	177.607	0.142	1315.960	5.000
191	20.859	11.707	9.463	15.375	737.928	216000.000	177.588	0.144	1324.690	5.100
192	20.896	11.714	8.914	15.120	737.928	216000.000	178.829	0.140	1327.290	4.900
193	20.878	11.707	8.714	14.987	737.928	216000.000	179.720	0.137	1323.520	4.700
194	20.870	11.697	9.842	14.448	737.928	216000.000	178.694	0.141	1322.200	4.800
195	20.880	11.700	10.900	13.963	737.928	216000.000	179.563	0.140	1319.150	4.600
196	20.915	11.695	11.353	13.722	737.928	216000.000	178.310	0.143	1317.670	4.700
197	20.897	11.697	11.328	13.493	737.928	216000.000	175.829	0.149	1320.820	5.100
198	20.846	11.714	11.088	13.200	737.928	216000.000	174.205	0.156	1328.920	5.500
199	20.832	11.728	10.639	13.227	737.928	216000.000	176.022	0.152	1330.780	5.300
200	20.864	11.729	9.632	13.693	737.928	216000.000	176.209	0.149	1332.660	5.300
201	20.848	11.721	9.302	14.748	737.928	216000.000	177.782	0.144	1328.190	5.100
202	20.803	11.711	9.579	15.447	737.928	216000.000	179.473	0.141	1324.530	4.900
